datahora,favor,contra
2016-09-04 04:46:56,117544,11325
2016-09-04 04:47:27,117551,11326
2016-09-04 04:47:59,117551,11326
2016-09-04 04:48:30,117554,11326
2016-09-04 04:49:02,117554,11326
2016-09-04 04:49:33,117557,11326
2016-09-04 04:50:04,117563,11326
2016-09-04 04:50:36,117563,11326
2016-09-04 04:51:07,117570,11326
2016-09-04 04:51:38,117576,11327
2016-09-04 04:52:10,117579,11327
2016-09-04 04:52:41,117582,11327
2016-09-04 04:53:12,117582,11327
2016-09-04 04:53:44,117583,11327
2016-09-04 04:54:15,117590,11327
2016-09-04 04:54:46,117595,11327
2016-09-04 04:55:18,117595,11327
2016-09-04 04:55:49,117597,11327
2016-09-04 04:56:21,117601,11327
2016-09-04 04:56:52,117604,11327
2016-09-04 04:57:24,117611,11327
2016-09-04 04:57:55,117611,11327
2016-09-04 04:58:26,117615,11327
2016-09-04 04:58:58,117615,11327
2016-09-04 04:59:30,117617,11327
2016-09-04 05:00:01,117618,11327
2016-09-04 05:00:33,117623,11327
2016-09-04 05:01:04,117624,11327
2016-09-04 05:01:35,117627,11327
2016-09-04 05:02:57,117629,11327
2016-09-04 05:03:28,117630,11327
2016-09-04 05:03:59,117631,11327
2016-09-04 05:04:30,117631,11327
2016-09-04 05:05:02,117635,11327
2016-09-04 05:05:33,117639,11327
2016-09-04 05:06:04,117644,11328
2016-09-04 05:06:35,117644,11328
2016-09-04 05:07:07,117654,11328
2016-09-04 05:07:38,117659,11328
2016-09-04 05:08:10,117664,11328
2016-09-04 05:08:41,117664,11328
2016-09-04 05:09:12,117667,11328
2016-09-04 05:09:44,117669,11328
2016-09-04 05:10:15,117672,11328
2016-09-04 05:10:47,117677,11328
2016-09-04 05:11:18,117677,11328
2016-09-04 05:11:49,117679,11328
2016-09-04 05:12:26,117686,11329
2016-09-04 05:12:57,117690,11329
2016-09-04 05:13:29,117694,11329
2016-09-04 05:14:00,117694,11329
2016-09-04 05:14:31,117696,11329
2016-09-04 05:15:02,117697,11329
2016-09-04 05:15:34,117698,11329
2016-09-04 05:16:05,117701,11329
2016-09-04 05:16:36,117705,11329
2016-09-04 05:17:08,117707,11331
2016-09-04 05:17:39,117711,11331
2016-09-04 05:18:10,117716,11331
2016-09-04 05:18:42,117718,11331
2016-09-04 05:19:13,117722,11331
2016-09-04 05:19:45,117725,11332
2016-09-04 05:20:16,117725,11332
2016-09-04 05:20:52,117728,11332
2016-09-04 05:21:24,117733,11332
2016-09-04 05:21:55,117733,11332
2016-09-04 05:22:27,117736,11332
2016-09-04 05:23:48,117749,11332
2016-09-04 05:24:20,117755,11333
2016-09-04 05:24:52,117760,11333
2016-09-04 05:25:24,117765,11333
2016-09-04 05:25:55,117767,11333
2016-09-04 05:26:26,117770,11333
2016-09-04 05:26:58,117771,11333
2016-09-04 05:27:29,117773,11333
2016-09-04 05:28:00,117776,11333
2016-09-04 05:28:32,117776,11333
2016-09-04 05:29:04,117784,11333
2016-09-04 05:29:35,117788,11333
2016-09-04 05:30:06,117788,11333
2016-09-04 05:30:38,117789,11333
2016-09-04 05:31:09,117791,11333
2016-09-04 05:31:40,117795,11333
2016-09-04 05:32:12,117795,11333
2016-09-04 05:32:43,117801,11333
2016-09-04 05:33:15,117801,11333
2016-09-04 05:33:46,117804,11334
2016-09-04 05:34:18,117804,11334
2016-09-04 05:34:50,117809,11334
2016-09-04 05:35:21,117811,11335
2016-09-04 05:35:53,117814,11335
2016-09-04 05:36:25,117814,11335
2016-09-04 05:36:57,117819,11335
2016-09-04 05:37:28,117822,11335
2016-09-04 05:37:59,117825,11335
2016-09-04 05:38:31,117831,11335
2016-09-04 05:39:02,117833,11335
2016-09-04 05:39:33,117841,11335
2016-09-04 05:40:05,117841,11335
2016-09-04 05:40:36,117843,11335
2016-09-04 05:41:07,117848,11335
2016-09-04 05:41:38,117848,11335
2016-09-04 05:42:10,117853,11335
2016-09-04 05:42:41,117857,11335
2016-09-04 05:43:13,117861,11335
2016-09-04 05:44:34,117876,11335
2016-09-04 05:45:05,117878,11335
2016-09-04 05:45:37,117882,11335
2016-09-04 05:46:08,117888,11335
2016-09-04 05:46:40,117891,11335
2016-09-04 05:47:11,117893,11335
2016-09-04 05:47:43,117896,11335
2016-09-04 05:48:14,117898,11336
2016-09-04 05:48:45,117901,11336
2016-09-04 05:49:18,117904,11337
2016-09-04 05:49:49,117906,11337
2016-09-04 05:50:21,117906,11337
2016-09-04 05:50:52,117906,11337
2016-09-04 05:51:23,117908,11337
2016-09-04 05:51:55,117911,11337
2016-09-04 05:52:26,117914,11337
2016-09-04 05:52:57,117915,11337
2016-09-04 05:53:29,117923,11337
2016-09-04 05:54:00,117923,11337
2016-09-04 05:54:32,117928,11337
2016-09-04 05:55:03,117934,11337
2016-09-04 05:55:35,117934,11337
2016-09-04 05:56:06,117944,11337
2016-09-04 05:56:37,117946,11337
2016-09-04 05:57:08,117950,11337
2016-09-04 05:57:40,117950,11337
2016-09-04 05:58:12,117958,11338
2016-09-04 05:58:43,117963,11338
2016-09-04 05:59:15,117963,11338
2016-09-04 05:59:46,117969,11339
2016-09-04 06:00:18,117969,11339
2016-09-04 06:00:49,117978,11339
2016-09-04 06:01:20,117983,11339
2016-09-04 06:01:52,117985,11339
2016-09-04 06:02:24,117990,11339
2016-09-04 06:02:55,117993,11339
2016-09-04 06:03:26,117996,11339
2016-09-04 06:03:58,117998,11339
2016-09-04 06:04:29,118000,11339
2016-09-04 06:05:00,118002,11339
2016-09-04 06:05:32,118009,11339
2016-09-04 06:06:03,118009,11339
2016-09-04 06:06:34,118016,11339
2016-09-04 06:07:06,118020,11339
2016-09-04 06:07:37,118024,11339
2016-09-04 06:08:08,118034,11339
2016-09-04 06:08:40,118037,11339
2016-09-04 06:09:11,118039,11339
2016-09-04 06:09:43,118039,11339
2016-09-04 06:10:14,118039,11339
2016-09-04 06:10:45,118041,11339
2016-09-04 06:11:18,118051,11339
